종목코드,종목명,시장구분,종가,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
60310,3S,KOSDAQ,2235,2215,2250,2200,47765,106518250,108479394870,48536642
95570,AJ네트웍스,KOSPI,4470,4420,4505,4410,29427,130832320,209295658650,46822295
6840,AK홀딩스,KOSPI,20350,20200,20400,20050,4498,91488850,269587866350,13247561
54620,APS,KOSDAQ,11880,11410,12180,11410,46684,559642610,242283345480,20394221
265520,AP시스템,KOSDAQ,20200,19720,20450,19650,85203,1717605320,308684704200,15281421
211270,AP위성,KOSDAQ,17070,16220,17130,16170,200969,3366688370,257454929280,15082304
27410,BGF,KOSPI,4140,4110,4150,4105,42288,174473930,396267514740,95716791
282330,BGF리테일,KOSPI,181400,179800,182200,179500,10439,1888777600,3135300548400,17283906
126600,BGF에코머티리얼즈,KOSDAQ,7580,7360,7630,7350,95872,720445840,309787126120,40869014
138930,BNK금융지주,KOSPI,6680,6620,6700,6600,285553,1902325440,2177247443280,325935246
1460,BYC,KOSPI,426000,424500,426000,424500,15,6383000,266085990000,624615
1465,BYC우,KOSPI,149900,149100,150000,149000,58,8679800,32286211500,215385
13720,CBI,KOSDAQ,236,0,0,0,0,0,70810952996,300046411
1040,CJ,KOSPI,88300,88000,88700,87200,27805,2452518200,2576328923400,29176998
79160,CJ CGV,KOSPI,15010,14970,15120,14900,35037,525457600,716391861390,47727639
35760,CJ ENM,KOSDAQ GLOBAL,76000,74400,77300,74300,84827,6491955000,1666615704000,21929154
311690,CJ 바이오사이언스,KOSDAQ,30450,29800,30600,29800,4835,146210650,179005562400,5878672
00104K,CJ4우(전환),KOSPI,71600,71200,72200,71100,991,71011200,302618259200,4226512
120,CJ대한통운,KOSPI,81900,81400,82100,81000,9194,750327300,1868330973600,22812344
11150,CJ씨푸드,KOSPI,3490,3400,3570,3385,725915,2537490815,125398397770,35930773
11155,CJ씨푸드1우,KOSPI,25300,25000,25300,25000,438,10955600,5060000000,200000
1045,CJ우,KOSPI,50900,51200,51200,50800,432,21965800,115045350700,2260223
97950,CJ제일제당,KOSPI,322500,318000,323000,317000,18757,6026227500,4854974985000,15054186
97955,CJ제일제당 우,KOSPI,150300,150500,150500,149400,569,85345300,199513179900,1327433
51500,CJ프레시웨이,KOSDAQ,27800,27850,28000,27550,15620,433628850,330030090800,11871586
58820,CMG제약,KOSDAQ,2290,2270,2295,2245,212513,485434575,318063238760,138892244
23460,CNH,KOSDAQ,2345,2305,2345,2250,9409,21784390,87234000000,37200000
56730,CNT85,KOSDAQ,1532,1517,1538,1506,75409,115093296,62730736592,40946956
65770,CS,KOSDAQ,1509,1492,1510,1479,48256,72350167,29291395170,19411130
83660,CSA 코스믹,KOSDAQ,1277,1267,1320,1180,280091,343558953,50379173461,39451193
590,CS홀딩스,KOSPI,59300,59200,59500,58600,530,31416600,68460782600,1154482
12030,DB,KOSPI,2045,1956,2185,1936,16067041,33770138987,411400692985,201173933
404950,DB금융스팩10호,KOSDAQ,2120,0,0,0,0,0,12380800000,5840000
367340,DB금융스팩8호,KOSDAQ,2060,2055,2060,2050,5014,10304165,12463000000,6050000
367360,DB금융스팩9호,KOSDAQ,2125,0,0,0,0,0,10285000000,4840000
16610,DB금융투자,KOSPI,4150,4130,4180,4130,5777,23957410,176152514350,42446389
5830,DB손해보험,KOSPI,74700,75100,76000,74700,58341,4389641200,5288760000000,70800000
990,DB하이텍,KOSPI,60100,58000,60500,56800,503778,29948393800,2668355138800,44398588
995,DB하이텍1우,KOSPI,77000,77500,77500,75400,683,52182800,8648332000,112316
139130,DGB금융지주,KOSPI,6940,6950,6970,6910,112436,780149750,1173872081020,169145833
60900,DGP,KOSDAQ,502,0,0,0,0,0,102538995394,204260947
25440,DH오토웨어,KOSDAQ,2920,2900,2935,2855,27505,79104775,83220000000,28500000
1530,DI동일,KOSPI,19820,19650,19920,19400,39881,786021630,516126218140,26040677
210,DL,KOSPI,46400,46050,46650,45700,69299,3198556950,972353017600,20955884
1880,DL건설,KOSPI,13840,13800,13880,13760,2296,31755840,305217450560,22053284
215,DL우,KOSPI,28200,28050,28250,27950,925,25951800,47548443000,1686115
375500,DL이앤씨,KOSPI,34350,34250,34600,33950,51493,1764769450,1329125950050,38693623
37550L,DL이앤씨2우(전환),KOSPI,25000,25200,25250,24450,932,23197950,52798775000,2111951
37550K,DL이앤씨우,KOSPI,20650,20600,20700,20400,901,18552550,43651725250,2113885
68790,DMS,KOSDAQ,6030,5940,6040,5900,47357,283780200,148175557830,24573061
7340,DN오토모티브,KOSPI,76400,77800,78500,76300,19944,1532397600,763541982000,9994005
4840,DRB동일,KOSPI,5070,5090,5120,4915,38680,194542945,101045100000,19930000
241520,DSC인베스트먼트,KOSDAQ,3870,3825,3880,3795,10639,40850340,107630129610,27811403
65150,DSEN,KOSDAQ,374,364,379,364,172453,63831213,46855619470,125282405
155660,DSR,KOSPI,4990,4975,5020,4915,42647,211619810,79840000000,16000000
69730,DSR제강,KOSPI,5080,4985,5110,4930,66311,332855855,73152000000,14400000
180400,DXVX,KOSDAQ,8950,8600,9200,8530,768122,6852928540,258613695750,28895385
17940,E1,KOSPI,49850,49800,50200,49800,4106,204967350,341971000000,6860000
245620,EDGC,KOSDAQ,1620,1607,1630,1603,75083,121562746,136542487320,84285486
37370,EG,KOSDAQ,20100,20050,20700,19000,544079,10815053340,173361937200,8624972
278990,EMB,KONEX,6420,6390,6420,6390,228,1462120,23293185240,3628222
365550,ESR켄달스퀘어리츠,KOSPI,4160,4180,4180,4030,137224,567525315,886450240000,213089000
50120,ES큐브,KOSDAQ,4445,4405,4485,4325,35096,155011535,60292362270,13564086
383220,F&F,KOSPI,139400,137000,139600,137000,20087,2790371500,5340006255000,38307075
7700,F&F홀딩스,KOSPI,20300,20050,20550,20050,12544,254901800,794021650100,39114367
214270,FSN,KOSDAQ,3285,3190,3315,3190,74315,243291450,109227770955,33250463
130500,GH신소재,KOSDAQ,3475,3425,3480,3420,39544,136523625,50544055700,14545052
114090,GKL,KOSPI,19810,18910,19850,18910,271486,5300756810,1225360822700,61855670
900290,GRT,KOSDAQ,3475,3520,3520,3395,13087,45324705,234128125000,67375000
78930,GS,KOSPI,39550,39550,39700,39200,36464,1439882100,3674803199900,92915378
83450,GST,KOSDAQ,24000,23700,24200,23250,44123,1057552150,223625880000,9317745
6360,GS건설,KOSPI,20750,20700,20850,20550,236921,4903849000,1775815917500,85581490
1250,GS글로벌,KOSPI,3220,3250,3310,3190,2199476,7113890170,265758720080,82533764
7070,GS리테일,KOSPI,25600,25500,25750,25500,66935,1712381050,2680778803200,104717922
78935,GS우,KOSPI,34650,34700,34800,34550,1629,56562750,61844220900,1784826
297890,HB솔루션,KOSDAQ,14450,14160,14510,14140,42484,612650590,241605343850,16720093
78150,HB테크놀러지,KOSDAQ,2595,2485,2645,2435,5418917,13928151045,204980155470,78990426
